483,184,22783,3665
472,195,24186,2262
26,0,24649,2440
25,1,25197,1892
61,9,25255,1790
59,11,26588,457
22,11,22271,4811
20,13,22438,4644
76,12,25968,1059
74,14,26512,515
5,0,24557,2553
5,0,24559,2551
18,1,26589,507
18,1,26907,189
1858,369,24132,756
2000,227,24363,525
12,2,25141,1960
12,2,26513,588
155,24,26221,715
153,26,26686,250
925,149,24801,1240
960,114,25269,772
24,5,20253,6833
23,6,21083,6003
2830,582,20509,3194
2928,484,21049,2654
2388,246,16210,8271
2322,312,16548,7933
4498,338,17539,4740
4543,293,17370,4909
13381,1932,346878,44534
13614,1699,355268,36144
24,2,26565,524
56,14,26890,155
21,12,22580,4502
8,6,27014,87
146,33,26825,111
2443,191,14009,10472
3064,348,20284,3419
4635,201,15579,6700
13,6,27079,17
486,181,25147,1301
5,0,24536,2574
62,26,26899,128
13888,1425,353474,37938
